"x" "y" "top"
184.900000000023 -136.899999999441 13.8717999458313
134.300000000047 -108.799999999814 31.8717999458313
186.199999999953 -133 33.8717999458313
171.900000000023 -119.5 71.8717999458313
170.900000000023 -117.299999999814 77.8717999458313
172.5 -118 79.8717999458313
171.400000000023 -117.099999999627 81.8717999458313
169 -114.599999999627 83.8717999458313
111.5 -92.3999999994412 107.871799945831
162.599999999977 -106.799999999814 111.871799945831
167.099999999977 -106.199999999255 115.871799945831
159.900000000023 -103.799999999814 117.871799945831
160 -102.5 121.871799945831
155.400000000023 -99.5999999996275 123.871799945831
106.099999999977 -87.7999999998137 125.871799945831
156.300000000047 -100 125.871799945831
161 -100.399999999441 127.871799945831
158.599999999977 -99.6999999992549 129.871799945831
153 -94.2999999998137 141.871799945831
153 -93.5 145.871799945831
155.599999999977 -94.5 147.871799945831
151.400000000023 -91.2999999998137 151.871799945831
146.599999999977 -88.0999999996275 155.871799945831
147.699999999953 -87.5 158.871799945831
163.900000000023 -90.5 160.871799945831
148.699999999953 -86.2999999998137 162.871799945831
142.699999999953 -83.7999999998137 164.871799945831
146.699999999953 -84 166.871799945831
145.5 -82.7999999998137 168.871799945831
143.5 -81.5 170.871799945831
142.400000000023 -80.3999999994412 172.871799945831
143.300000000047 -80 174.871799945831
140.699999999953 -78 178.871799945831
139.699999999953 -77.3999999994412 180.871799945831
139.199999999953 -76.8999999994412 182.871799945831
138.099999999977 -76.1999999992549 184.871799945831
137.800000000047 -76 186.871799945831
137.300000000047 -75 188.871799945831
137.099999999977 -74.5999999996275 190.871799945831
136.599999999977 -73.5999999996275 192.871799945831
136.199999999953 -73.2999999998137 194.871799945831
135.400000000023 -72.8999999994412 196.871799945831
132.900000000023 -71.5999999996275 200.871799945831
133.099999999977 -70.7999999998137 202.871799945831
130 -69.5999999996275 204.871799945831
131.300000000047 -69 208.871799945831
131.099999999977 -68.0999999996275 210.871799945831
130.900000000023 -68.2999999998137 212.871799945831
130.599999999977 -67.6999999992549 214.871799945831
130 -67.5 216.871799945831
129.599999999977 -66.7999999998137 218.871799945831
128.599999999977 -65.5 222.871799945831
126.400000000023 -64.1999999992549 226.871799945831
125.599999999977 -63.5999999996275 228.871799945831
123.199999999953 -62 234.871799945831
118.800000000047 -60.7999999998137 242.871799945831
119.699999999953 -59.0999999996275 244.871799945831
119.099999999977 -58.5999999996275 246.871799945831
116.800000000047 -59.6999999992549 248.871799945831
117.599999999977 -58.7999999998137 250.871799945831
115.900000000023 -58.0999999996275 254.871799945831
115.300000000047 -57.5999999996275 256.871799945831
114.300000000047 -57.5999999996275 258.871799945831
113.5 -57 260.871799945831
112.800000000047 -56.3999999994412 262.871799945831
112.199999999953 -55.7999999998137 264.871799945831
111.5 -55.2999999998137 266.871799945831
110.400000000023 -54.5999999996275 270.871799945831
109.599999999977 -54 272.871799945831
109 -53.6999999992549 274.871799945831
108.199999999953 -53.2999999998137 276.871799945831
107.5 -52.5999999996275 278.871799945831
106.900000000023 -53.0999999996275 280.871799945831
106.5 -51.3999999994412 282.871799945831
105.400000000023 -51.5 284.871799945831
100.099999999977 -83.3999999994412 286.871799945831
105.5 -50.6999999992549 286.871799945831
104 -50.1999999992549 290.871799945831
103.199999999953 -49.8999999994412 292.871799945831
102.099999999977 -49.5 294.871799945831
101.099999999977 -49.0999999996275 296.871799945831
100.199999999953 -48.3999999994412 298.871799945831
99.1999999999534 -48 300.871799945831
98.3000000000466 -47 302.871799945831
97.4000000000233 -46.5999999996275 304.871799945831
96.5999999999767 -46 306.871799945831
95.9000000000233 -45.2999999998137 308.871799945831
95.4000000000233 -44.3999999994412 310.871799945831
95 -44.0999999996275 312.871799945831
94.4000000000233 -44.0999999996275 314.871799945831
93.8000000000466 -43.6999999992549 316.871799945831
93.1999999999534 -42.8999999994412 318.871799945831
91.9000000000233 -40 320.871799945831
91.9000000000233 -42.0999999996275 323.871799945831
91.3000000000466 -41.6999999992549 325.871799945831
90.9000000000233 -41.5 327.871799945831
90.0999999999767 -40.8999999994412 329.871799945831
89.6999999999534 -42.5 331.871799945831
88.8000000000466 -39.6999999992549 333.871799945831
88.1999999999534 -39.2999999998137 335.871799945831
87.5 -39.0999999996275 337.871799945831
86.5999999999767 -38.6999999992549 339.871799945831
85.5999999999767 -41.0999999996275 341.871799945831
85.6999999999534 -37.6999999992549 341.871799945831
86.3000000000466 -40.5999999996275 343.871799945831
85.0999999999767 -40.2999999998137 345.871799945831
83.0999999999767 -36.5999999996275 347.871799945831
87.0999999999767 -40.2999999998137 349.871799945831
82.6999999999534 -38.8999999994412 351.871799945831
80.1999999999534 -34.3999999994412 353.871799945831
79.1999999999534 -33.5999999996275 355.871799945831
78.8000000000466 -34.1999999992549 357.871799945831
76.9000000000233 -31.7999999998137 359.871799945831
76.9000000000233 -33.1999999992549 361.871799945831
75.1999999999534 -31 363.871799945831
76 -34.0999999996275 365.871799945831
